Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
NL,,,,21.0000,BTW,1,0,1,
DE,,,,19.0000,MwSt,1,0,1,
BE,,,,21.0000,TVA,1,0,1,
FR,,,,20.0000,TVA,1,0,1,
AT,,,,20.0000,USt,1,0,1,
IT,,,,22.0000,IVA,1,0,1,
ES,,,,21.0000,IVA,1,0,1,
PL,,,,23.0000,VAT,1,0,1,
CZ,,,,21.0000,DPH,1,0,1,
PT,,,,23.0000,IVA,1,0,1,
SE,,,,25.0000,Moms,1,0,1,
DK,,,,25.0000,Moms,1,0,1,
FI,,,,25.5000,ALV,1,0,1,
IE,,,,23.0000,VAT,1,0,1,
LU,,,,17.0000,TVA,1,0,1,
HU,,,,27.0000,AFA,1,0,1,
RO,,,,19.0000,TVA,1,0,1,
BG,,,,20.0000,DDS,1,0,1,
HR,,,,25.0000,PDV,1,0,1,
SK,,,,20.0000,DPH,1,0,1,
SI,,,,22.0000,DDV,1,0,1,
LT,,,,21.0000,PVM,1,0,1,
LV,,,,21.0000,PVN,1,0,1,
EE,,,,22.0000,km,1,0,1,
GR,,,,24.0000,FPA,1,0,1,
CY,,,,19.0000,VAT,1,0,1,
MT,,,,18.0000,VAT,1,0,1,
